om1,om2,exists,n_branch,phi2_max,phi1_min,phi1_max,pw_coverage
-0.5,-0.5,0,0,,,,0.00000
-0.5,-0.48,0,0,,,,0.00000
-0.5,-0.46,0,0,,,,0.00000
-0.5,-0.44,0,0,,,,0.00000
-0.5,-0.42,1,1,0.0292,0.0853,0.0920,0.00008
-0.5,-0.4,1,1,0.0292,0.0853,0.0915,0.00008
-0.5,-0.38,1,1,0.0298,0.0853,0.0915,0.00008
-0.5,-0.36,1,1,0.0329,0.0853,0.0920,0.00011
-0.5,-0.34,1,1,0.0329,0.0853,0.0920,0.00011
-0.5,-0.32,1,1,0.0341,0.0853,0.0920,0.00012
-0.5,-0.3,1,1,0.0341,0.0853,0.0920,0.00012
-0.48,-0.5,0,0,,,,0.00000
-0.48,-0.48,0,0,,,,0.00000
-0.48,-0.46,0,0,,,,0.00000
-0.48,-0.44,1,1,0.0416,0.0874,0.0951,0.00019
-0.48,-0.42,1,1,0.0304,0.0874,0.0941,0.00009
-0.48,-0.4,1,1,0.0428,0.0874,0.0951,0.00020
-0.48,-0.38,1,1,0.0440,0.0874,0.0951,0.00021
-0.48,-0.36,1,1,0.0447,0.0874,0.0951,0.00022
-0.48,-0.34,1,1,0.0453,0.0874,0.0951,0.00022
-0.48,-0.32,1,1,0.0459,0.0874,0.0951,0.00023
-0.48,-0.3,1,1,0.0391,0.0874,0.0946,0.00016
-0.46,-0.5,0,0,,,,0.00000
-0.46,-0.48,0,0,,,,0.00000
-0.46,-0.46,0,0,,,,0.00000
-0.46,-0.44,1,1,0.0211,0.0889,0.0946,0.00002
-0.46,-0.42,1,1,0.0316,0.0889,0.0962,0.00011
-0.46,-0.4,1,1,0.0484,0.0889,0.0977,0.00028
-0.46,-0.38,1,1,0.0354,0.0889,0.0962,0.00013
-0.46,-0.36,1,1,0.0496,0.0889,0.0977,0.00029
-0.46,-0.34,1,1,0.0509,0.0889,0.0977,0.00030
-0.46,-0.32,1,1,0.0515,0.0889,0.0977,0.00031
-0.46,-0.3,1,1,0.0521,0.0889,0.0977,0.00031
-0.44,-0.5,1,1,0.0211,0.0905,0.0967,0.00003
-0.44,-0.48,1,1,0.0366,0.0905,0.0988,0.00016
-0.44,-0.46,1,1,0.0366,0.0905,0.0988,0.00016
-0.44,-0.44,1,1,0.0378,0.0905,0.0988,0.00017
-0.44,-0.42,1,1,0.0378,0.0905,0.0988,0.00017
-0.44,-0.4,1,1,0.0391,0.0905,0.0988,0.00018
-0.44,-0.38,1,1,0.0540,0.0905,0.1008,0.00038
-0.44,-0.36,1,1,0.0546,0.0905,0.1003,0.00037
-0.44,-0.34,1,1,0.0533,0.0905,0.1008,0.00038
-0.44,-0.32,1,1,0.0558,0.0905,0.1003,0.00038
-0.44,-0.3,1,1,0.0565,0.0905,0.1003,0.00039
-0.42,-0.5,1,1,0.0391,0.0926,0.1013,0.00020
-0.42,-0.48,1,1,0.0403,0.0926,0.1013,0.00021
-0.42,-0.46,1,1,0.0403,0.0926,0.1013,0.00021
-0.42,-0.44,1,1,0.0422,0.0926,0.1013,0.00022
-0.42,-0.42,1,1,0.0565,0.0926,0.1034,0.00043
-0.42,-0.4,1,1,0.0565,0.0926,0.1034,0.00043
-0.42,-0.38,1,1,0.0558,0.0926,0.1034,0.00042
-0.42,-0.36,1,1,0.0583,0.0926,0.1029,0.00043
-0.42,-0.34,1,1,0.0589,0.0926,0.1029,0.00044
-0.42,-0.32,1,1,0.0596,0.0926,0.1029,0.00044
-0.42,-0.3,1,1,0.0608,0.0926,0.1034,0.00048
-0.4,-0.5,1,1,0.0434,0.0941,0.1039,0.00026
-0.4,-0.48,1,1,0.0447,0.0941,0.1039,0.00027
-0.4,-0.46,1,1,0.0577,0.0941,0.1060,0.00049
-0.4,-0.44,1,1,0.0459,0.0941,0.1039,0.00029
-0.4,-0.42,1,1,0.0589,0.0941,0.1060,0.00050
-0.4,-0.4,1,1,0.0589,0.0941,0.1060,0.00050
-0.4,-0.38,1,1,0.0608,0.0941,0.1055,0.00050
-0.4,-0.36,1,1,0.0614,0.0941,0.1055,0.00051
-0.4,-0.34,1,1,0.0627,0.0941,0.1060,0.00055
-0.4,-0.32,1,1,0.0633,0.0941,0.1060,0.00055
-0.4,-0.3,1,1,0.0732,0.0941,0.1070,0.00073
-0.38,-0.5,1,1,0.0471,0.0962,0.1065,0.00031
-0.38,-0.48,1,1,0.0589,0.0962,0.1086,0.00052
-0.38,-0.46,1,1,0.0589,0.0962,0.1086,0.00052
-0.38,-0.44,1,1,0.0614,0.0962,0.1081,0.00053
-0.38,-0.42,1,1,0.0620,0.0962,0.1081,0.00054
-0.38,-0.4,1,1,0.0633,0.0962,0.1086,0.00058
-0.38,-0.38,1,1,0.0639,0.0962,0.1086,0.00059
-0.38,-0.36,1,1,0.0738,0.0962,0.1101,0.00080
-0.38,-0.34,1,1,0.0614,0.0962,0.1081,0.00053
-0.38,-0.32,1,1,0.0751,0.0962,0.1101,0.00081
-0.38,-0.3,1,1,0.0751,0.0962,0.1096,0.00078
-0.36,-0.5,1,1,0.0608,0.0977,0.1107,0.00057
-0.36,-0.48,1,1,0.0620,0.0977,0.1107,0.00059
-0.36,-0.46,1,1,0.0633,0.0977,0.1112,0.00063
-0.36,-0.44,1,1,0.0639,0.0977,0.1112,0.00063
-0.36,-0.42,1,1,0.0651,0.0977,0.1112,0.00065
-0.36,-0.4,1,1,0.0732,0.0977,0.1127,0.00085
-0.36,-0.38,1,1,0.0744,0.0977,0.1122,0.00084
-0.36,-0.36,1,1,0.0732,0.0977,0.1127,0.00085
-0.36,-0.34,1,1,0.0757,0.0977,0.1122,0.00085
-0.36,-0.32,1,1,0.0763,0.0977,0.1122,0.00086
-0.36,-0.3,1,1,0.0775,0.0977,0.1127,0.00091
-0.34,-0.5,1,1,0.0639,0.0993,0.1138,0.00068
-0.34,-0.48,1,1,0.0602,0.0993,0.1132,0.00061
-0.34,-0.46,1,1,0.0720,0.0993,0.1153,0.00088
-0.34,-0.44,1,1,0.0720,0.0993,0.1153,0.00088
-0.34,-0.42,1,1,0.0738,0.0993,0.1148,0.00089
-0.34,-0.4,1,1,0.0751,0.0993,0.1148,0.00090
-0.34,-0.38,1,1,0.0757,0.0993,0.1148,0.00091
-0.34,-0.36,1,1,0.0769,0.0993,0.1153,0.00096
-0.34,-0.34,1,1,0.0856,0.0993,0.1163,0.00117
-0.34,-0.32,1,1,0.0856,0.0993,0.1163,0.00117
-0.34,-0.3,1,1,0.0868,0.0993,0.1163,0.00120
-0.32,-0.5,1,1,0.0720,0.1008,0.1174,0.00091
-0.32,-0.48,1,1,0.0726,0.1008,0.1174,0.00092
-0.32,-0.46,1,1,0.0744,0.1008,0.1179,0.00098
-0.32,-0.44,1,1,0.0751,0.1008,0.1179,0.00099
-0.32,-0.42,1,1,0.0825,0.1008,0.1189,0.00119
-0.32,-0.4,1,1,0.0831,0.1008,0.1189,0.00120
-0.32,-0.38,1,1,0.0844,0.1008,0.1189,0.00122
-0.32,-0.36,1,1,0.0850,0.1008,0.1189,0.00123
-0.32,-0.34,1,1,0.0931,0.1008,0.1205,0.00150
-0.32,-0.32,1,1,0.0937,0.1008,0.1200,0.00147
-0.32,-0.3,1,1,0.0937,0.1008,0.1205,0.00151
-0.3,-0.5,1,1,0.0794,0.1019,0.1215,0.00123
-0.3,-0.48,1,1,0.0806,0.1019,0.1215,0.00126
-0.3,-0.46,1,1,0.0819,0.1019,0.1215,0.00128
-0.3,-0.44,1,1,0.0825,0.1019,0.1215,0.00129
-0.3,-0.42,1,1,0.0695,0.0905,0.1107,0.00138
-0.3,-0.4,1,1,0.0924,0.1019,0.1231,0.00160
-0.3,-0.38,1,1,0.0955,0.1019,0.1241,0.00175
-0.3,-0.36,1,1,0.0980,0.1019,0.1241,0.00181
-0.3,-0.34,1,1,0.1011,0.1019,0.1246,0.00192
-0.3,-0.32,1,1,0.0875,0.0905,0.1132,0.00196
-0.3,-0.3,1,1,0.0906,0.0905,0.1138,0.00208
